Village;Close languages;Far languages
Archib;Lak, Avar, Archi;Azerikumyk
Arkhit;Lezgi, Tabassaran;Azeri
Balkhar;Lak, Shukty;Avar, Dargwa, Kum, Lezgi, Uzbe, Georgian, Tabassaran, Kajtag
Chabanmakhi;Kumyk, Dargwa, Avar;Tabassaran
Chankurbe;Kumyk, Dargwa, Avar;
Chirag;Aghul, Chirag;Azeri, Dargwa, Lak, Kumyk, Rutul
Chitab;Lak, Avar, Archi;Azerikumyk
Chumli;Kumyk, Dargwa;
Chuni;Avar, Tsudakhar, Dargwa;Ingush, Mekegi, Kumyk, Lak, Tabassaran, Kalmyk
Darvag;Azeri, Tabassaran, Kajtag;Kumyk
Dorgeli;Kumyk, Dargwa, Avar;
Durangi;Kumyk, Dargwa, Avar;
Dyubek;Azeri, Tabassaran, Kajtag;Dargwa, Kumyk, Lezgi
Dzhavgat;Azeri, Tabassaran, Kajtag;Aghul, Dargwa, Kumyk, Lezgi, Chechen
Gelmets;Tsakhur, Rutul;Azeri, Georgian, Lezgi, Tabassaran
Khiv;Lezgi, Tabassaran;Azeri
Kina;Tsakhur, Rutul;Avar, Azeri, Lezgi, Georgian, Lak, Kum, Tabassaran
Kizhani;Avar, Zilo, Rikvani;Andi, Chechen, Lak, Botlikh, Chechen
Kug;Lezgi, Tabassaran;Azeri
Kuli;Lak, Shukty;Avar, Dargwa, Kum, Osetin, Armenian
Laka;Lezgi, Tabassaran;Aghul, Azeri, Lak
Mallakent;Kumyk, Dargwa;
;;
Megeb;Lak, Avar, Mehweb;Azeri, Dargwa, Kumyk
Mukar;Lak, Avar, Mehweb;Chechen, Dargwa, Kumyk, Azeri
Obokh;Lak, Avar, Mehweb;Dargwa, Georgian, Kumyk, Lezgi
Richa;Aghul, Chirag;Azeri, Dargwa, Kumyk, Lezgi, Avar, Lak, Tabassaran
Rikvani;Avar, Zilo, Rikvani;Chechen, Kumyk, Lak, Botlikh
Shalib;Lak, Avar, Archi;Azerikumyk
Shangoda;Lak, Avar, Mehweb;Chechen, Dargwa, Georgian, Kumyk, Azeri
Shukty;Lak, Shukty;Dargwa, Tsudakhar, Adyghe, Avar, Kumyk, Gapshima, Mugi
Tsukhta;Avar, Tsudakhar, Dargwa;Kumyk, Lak
Tsulikana;Lak, Shukty;Avar, Chechen, Dargwa, Kumyk, Lezgi
Tumenler;Kumyk, Dargwa;
Ubeki;Avar, Tsudakhar, Dargwa;Chechen, Kumyk, Lak
Uri;Lak, Avar, Mehweb;Chechen, Dargwa, Kumyk
Yangikent;Kumyk, Dargwa;
Yersi;Azeri, Tabassaran, Kajtag;Aghul, Avar, Dargwa, Lezgi, Lak, Kumyk
Zilo;Avar, Zilo, Rikvani;Chechen, Lak, Botlikh
