female;village;village_lang;year_of_birth;azerikum;avar;rus;archi;lak;aghul;azeri;lezgi;chirag;tabassaran;kum;mehweb;dargwa;rutul;tsakhur;georgian;uzbe;kajtag;chechen;botlikh;shukty;tsudakhar;mugi;adyghe;gapshima;osetin;armenian;andi;rikvani;zilo;mekegi;ingush;close_multiling_list;personal;multiling;multiling_withoutrus;close_multiling;far_multiling;far_multiling_list
0;shalib;lak;1885;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;3;2;1;1;azerikum
0;shalib;lak;1889;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;3;2;1;1;azerikum
1;shalib;lak;1890;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;0;0;0;0;
0;shalib;lak;1890;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;1;1;1;0;
0;shalib;lak;1890;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;3;2;1;1;azerikum
1;shalib;lak;1891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;0;0;0;0;
1;shalib;lak;1893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;0;0;0;0;
0;shalib;lak;1899;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;3;2;1;1;azerikum
0;shalib;lak;1900;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;1;1;1;0;
0;shalib;lak;1900;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;3;2;1;1;azerikum
1;shalib;lak;1901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;0;0;0;0;
0;shalib;lak;1904;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;3;2;1;1;azerikum
0;shalib;lak;1904;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;2;1;1;0;
1;shalib;lak;1904;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;1;0;0;0;
1;shalib;lak;1905;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;1;1;1;0;
1;shalib;lak;1906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lak,avar,archi;2;0;0;0;0;
